function,beta,etaL,init,T,iterate_type,kappa_exp,R2,f_at_k10,f_at_k100,f_at_k1000,f_at_k10000
f1_quad2d,0.7,2.5,zero_mom,10000,best,,,0.0,0.0,3.4732170282929064e-75,2.7877770365811685e-08
f1_quad2d,0.7,2.9,zero_mom,100,last,5.3319,0.8514,7.0467301472493856e-15,6.970104720681462e-14,0.07181364509223744,0.4137607501063417
f1_quad2d,0.7,2.9,zero_mom,100,cesaro,1.3309,0.9268,5.769875880018242e-05,0.005297795061819334,0.2110459608427382,0.4614136264856342
f1_quad2d,0.7,2.9,zero_mom,100,pr,2.4061,0.9212,4.404885238057913e-08,0.00012953791523960263,0.14781518231691868,0.44162540886634116
f1_quad2d,0.7,2.9,zero_mom,100,suffix,5.7272,0.8555,6.156740956836871e-16,1.3105798819106611e-14,0.07860318228644368,0.4173894081471032
f1_quad2d,0.7,2.9,zero_mom,100,best,5.6767,0.8514,9.044173176428029e-16,1.1746978909474966e-14,0.07181364509223744,0.4137607501063417
f1_quad2d,0.7,2.9,zero_mom,1000,last,60.0470,0.8227,3.535626544552788e-154,3.4842289336236947e-153,1.2035610504994453e-09,0.07227629683257483
f1_quad2d,0.7,2.9,zero_mom,1000,cesaro,1.8631,0.9974,5.874096112038909e-07,5.393488248326634e-05,0.005344920766169755,0.20600706616202613
f1_quad2d,0.7,2.9,zero_mom,1000,pr,3.5690,0.9949,4.647030943222633e-12,1.366583847708067e-08,0.00021729741180831402,0.14564445235601
f1_quad2d,0.7,2.9,zero_mom,1000,suffix,59.7215,0.8249,1.5608491827245294e-153,1.0803029721962898e-151,1.6349277300019344e-09,0.07441453304227835
f1_quad2d,0.7,2.9,zero_mom,1000,best,60.3300,0.8227,6.878575457958013e-155,7.001354211656492e-154,1.2035610504994453e-09,0.07227629683257483
f1_quad2d,0.7,2.9,zero_mom,10000,last,,,0.0,0.0,2.1041643646454578e-87,1.91188566039132e-09
f1_quad2d,0.7,2.9,zero_mom,10000,cesaro,1.9872,1.0000,5.8846731848753916e-09,5.403199924294678e-07,5.355052598236606e-05,0.0053495784072475575
f1_quad2d,0.7,2.9,zero_mom,10000,pr,3.9265,0.9985,4.672169686816972e-16,1.3739765682144371e-12,2.1869902367380108e-08,0.0002275771380200099
f1_quad2d,0.7,2.9,zero_mom,10000,suffix,,,0.0,0.0,6.113056881108276e-87,2.106096876562193e-09
f1_quad2d,0.7,2.9,zero_mom,10000,best,,,0.0,0.0,2.1041643646454578e-87,1.91188566039132e-09
f1_quad2d,0.9,0.5,zero_mom,100,last,1.4559,0.9235,5.418520142235742e-05,0.0004238327586717437,0.19758813257995775,0.49810285414027317
f1_quad2d,0.9,0.5,zero_mom,100,cesaro,1.1327,0.8885,0.00021405283107295395,0.01973989007940179,0.33256258698702734,0.49820948613757304
