function,beta,etaL,kappa,init,T,iterate_type,fvalue
f1_quad2d,0.5,2.5,100,zero_mom,10000,cesaro,0.00000201959606059192100987881413838
f1_quad2d,0.5,2.5,100,zero_mom,10000,pr,2.88631903332389434835722031963e-11
f1_quad2d,0.5,2.5,100,zero_mom,10000,suffix,2.14979775956672405944128600742e-470
f1_quad2d,0.5,2.5,100,zero_mom,10000,best,1.27308575985375012521090541305e-473
f1_quad2d,0.5,2.5,1000,zero_mom,100,last,0.184422249362158851965094826759
f1_quad2d,0.5,2.5,1000,zero_mom,100,cesaro,0.313742195535543112574278146863
f1_quad2d,0.5,2.5,1000,zero_mom,100,pr,0.261891799029619306828573679707
f1_quad2d,0.5,2.5,1000,zero_mom,100,suffix,0.193017300381231253354556687033
f1_quad2d,0.5,2.5,1000,zero_mom,100,best,0.184422249362158851965094826759
f1_quad2d,0.5,2.5,1000,zero_mom,1000,last,0.0000212528319138042068740935856988
f1_quad2d,0.5,2.5,1000,zero_mom,1000,cesaro,0.0197232026039456861915175412827
f1_quad2d,0.5,2.5,1000,zero_mom,1000,pr,0.00290879156066672203320052792853
f1_quad2d,0.5,2.5,1000,zero_mom,1000,suffix,0.0000247707085604293583924030241869
f1_quad2d,0.5,2.5,1000,zero_mom,1000,best,0.0000212528319138042068740935856988
f1_quad2d,0.5,2.5,1000,zero_mom,10000,last,8.77913514809718742956615259391e-45
f1_quad2d,0.5,2.5,1000,zero_mom,10000,cesaro,0.000200159966005199300087936941404
f1_quad2d,0.5,2.5,1000,zero_mom,10000,pr,0.000000316617993159965367414676415195
f1_quad2d,0.5,2.5,1000,zero_mom,10000,suffix,1.4764859254350547897995985909e-44
f1_quad2d,0.5,2.5,1000,zero_mom,10000,best,8.77913514809718742956615259391e-45
f1_quad2d,0.5,2.5,10000,zero_mom,100,last,0.452838361979729464084221317589
f1_quad2d,0.5,2.5,10000,zero_mom,100,cesaro,0.49577131561815004918513623702
f1_quad2d,0.5,2.5,10000,zero_mom,100,pr,0.468270773466479941353154746674
f1_quad2d,0.5,2.5,10000,zero_mom,100,suffix,0.454883203534211349577799320524
f1_quad2d,0.5,2.5,10000,zero_mom,100,best,0.452838361979729464084221317589
f1_quad2d,0.5,2.5,10000,zero_mom,1000,last,0.183985926489103250372998487457
f1_quad2d,0.5,2.5,10000,zero_mom,1000,cesaro,0.310051704754544692865059044975
f1_quad2d,0.5,2.5,10000,zero_mom,1000,pr,0.260523876619984838656159936463
f1_quad2d,0.5,2.5,10000,zero_mom,1000,suffix,0.186772362875844174563293602444
f1_quad2d,0.5,2.5,10000,zero_mom,1000,best,0.183985926489103250372998487457
f1_quad2d,0.5,2.5,10000,zero_mom,10000,last,0.0000225526997007913390563646181962
f1_quad2d,0.5,2.5,10000,zero_mom,10000,cesaro,0.0197305805532785744313345038256
f1_quad2d,0.5,2.5,10000,zero_mom,10000,pr,0.00294271088094143281801247630474
f1_quad2d,0.5,2.5,10000,zero_mom,10000,suffix,0.0000237029752763118131513978432987
f1_quad2d,0.5,2.5,10000,zero_mom,10000,best,0.0000225526997007913390563646181962
f1_quad2d,0.5,2.9,10,zero_mom,100,last,5.61700295244063541441734254967e-28
f1_quad2d,0.5,2.9,10,zero_mom,100,cesaro,0.000160274324367957399399665179778
f1_quad2d,0.5,2.9,10,zero_mom,100,pr,0.0000000332114009557286652914134495295
f1_quad2d,0.5,2.9,10,zero_mom,100,suffix,1.17852762866169948617328493487e-28
f1_quad2d,0.5,2.9,10,zero_mom,100,best,5.61700295244063541441734254967e-28
f1_quad2d,0.5,2.9,10,zero_mom,1000,last,2.2157093256196229043565822028e-299
f1_quad2d,0.5,2.9,10,zero_mom,1000,cesaro,0.00000163169336445525189496983677305
f1_quad2d,0.5,2.9,10,zero_mom,1000,pr,3.5036981906820561171466821171e-12
