function,beta,etaL,kappa,init,T,iterate_type,fvalue
f3_huber,0.5,1.0,10000,zero_mom,1000,pr,0.383949707652306379422667299191
f3_huber,0.5,1.0,10000,zero_mom,1000,suffix,0.337273236393739112043293068358
f3_huber,0.5,1.0,10000,zero_mom,1000,best,0.335253978503168162427529933315
f3_huber,0.5,2.0,10,zero_mom,100,last,5.35811569208746220101909544045e-30
f3_huber,0.5,2.0,10,zero_mom,100,cesaro,0.000336976766983629460510833111449
f3_huber,0.5,2.0,10,zero_mom,100,pr,0.000000271627230385536089866530896645
f3_huber,0.5,2.0,10,zero_mom,100,suffix,1.08783612251388953997793156063e-29
f3_huber,0.5,2.0,10,zero_mom,100,best,6.647230284557469631221154901e-31
f3_huber,0.5,2.0,10,zero_mom,1000,last,3.91225168900719708441786924435e-301
f3_huber,0.5,2.0,10,zero_mom,1000,cesaro,0.00000343063529876716689903503090316
f3_huber,0.5,2.0,10,zero_mom,1000,pr,2.86558172270294419721599806028e-11
f3_huber,0.5,2.0,10,zero_mom,1000,suffix,9.32218253715037845061205227381e-295
f3_huber,0.5,2.0,10,zero_mom,1000,best,3.91225168900719708441786924435e-301
f3_huber,0.5,2.0,100,zero_mom,100,last,0.000107216787325290205148860708839
f3_huber,0.5,2.0,100,zero_mom,100,cesaro,0.0301239727683145899206485886546
f3_huber,0.5,2.0,100,zero_mom,100,pr,0.00586964696773048269479362420999
f3_huber,0.5,2.0,100,zero_mom,100,suffix,0.000159879546655049118370142056359
f3_huber,0.5,2.0,100,zero_mom,100,best,0.000107216787325290205148860708839
f3_huber,0.5,2.0,100,zero_mom,1000,last,4.26921758332417693094924260586e-38
f3_huber,0.5,2.0,100,zero_mom,1000,cesaro,0.000314994695614076233289835455823
f3_huber,0.5,2.0,100,zero_mom,1000,pr,0.000000715703497528058980557160589776
f3_huber,0.5,2.0,100,zero_mom,1000,suffix,1.77637260792869477667442502449e-37
f3_huber,0.5,2.0,100,zero_mom,1000,best,4.26921758332417693094924260586e-38
f3_huber,0.5,2.0,1000,zero_mom,100,last,0.225404928041969031811486537183
f3_huber,0.5,2.0,1000,zero_mom,100,cesaro,0.344744233482356178117211562221
f3_huber,0.5,2.0,1000,zero_mom,100,pr,0.297557798628937053437806680525
f3_huber,0.5,2.0,1000,zero_mom,100,suffix,0.233749634238998913576223269178
f3_huber,0.5,2.0,1000,zero_mom,100,best,0.225404928041969031811486537183
f3_huber,0.5,2.0,1000,zero_mom,1000,last,0.000161087414661410100097971047157
f3_huber,0.5,2.0,1000,zero_mom,1000,cesaro,0.030118074730335286140709261169
f3_huber,0.5,2.0,1000,zero_mom,1000,pr,0.00638818321429552183585434745533
f3_huber,0.5,2.0,1000,zero_mom,1000,suffix,0.000181993510152294952881653985737
f3_huber,0.5,2.0,1000,zero_mom,1000,best,0.000161087414661410100097971047157
f3_huber,0.5,2.0,10000,zero_mom,100,last,0.461906036169794490317559362649
f3_huber,0.5,2.0,10000,zero_mom,100,cesaro,0.511460262793283088476683569814
f3_huber,0.5,2.0,10000,zero_mom,100,pr,0.474446720238510798441824999737
f3_huber,0.5,2.0,10000,zero_mom,100,suffix,0.463573509773189629492039088033
f3_huber,0.5,2.0,10000,zero_mom,100,best,0.461906036169794490317559362649
